sku,infoDate,competitionType,competitor,competitorSku,label,price,currency,priceUnit,unitOfMeasure,priceType,priority,comments,country,source
MB-0013,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 90190. 13 -- D&au-ml;-mpfer-kolbenstangen vorne,11.48,EUR,1,1,Online,,,de,idealo
MB-0014,2016-01-27T14:28:41,Online,rc-toy.de,,9378. 14 - Graupner Dekorbogen,8.99,EUR,1,1,Online,,,de,idealo
MB-0014,2016-01-27T14:28:41,Online,eBay - rc-toy,,9378. 14 -- Graupner De-korbogen,8.99,EUR,1,1,Online,,,de,idealo
MB-0014,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 9378. 14 -- De-korbogen,11.48,EUR,1,1,Online,,,de,idealo
MB-0015,2016-01-27T14:28:41,Online,rc-toy.de,,9356. 14 - Graupner Dekorbogen zu Twister,8.37,EUR,1,1,Online,,,de,idealo
MB-0015,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Dekorbogen zu Twister,8.49,EUR,1,1,Online,,,de,idealo
MB-0015,2016-01-27T14:28:41,Online,eBay - rc-toy,,9356. 14 -- Graupner De-korbogen zu Twister,8.99,EUR,1,1,Online,,,de,idealo
MB-0015,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 9356. 14 -- De-korbogen zu Twister,11.48,EUR,1,1,Online,,,de,idealo
MB-0016,2016-01-27T14:28:41,Online,rc-toy.de,,90170. 112 - Graupner Dämpferfedern hintenschwarz (hart) (2),8.34,EUR,1,1,Online,,,de,idealo
MB-0016,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Dämpferfedern hintenschwarz (hart) (2),8.43,EUR,1,1,Online,,,de,idealo
MB-0016,2016-01-27T14:28:41,Online,eBay - rc-toy,,90170. 112 -- Graupner D&au-ml;-mpferfedern hintenschwarz (hart) (2),8.99,EUR,1,1,Online,,,de,idealo
